Order Date,Sales
2015-01-31,28828.253999999997
2015-02-28,12588.483999999993
2015-03-31,54027.692
2015-04-30,24710.016
2015-05-31,29520.489999999983
2015-06-30,29181.334600000002
2015-07-31,35194.558000000005
2015-08-31,37349.26549999999
2015-09-30,65956.39980000003
2015-10-31,34561.947
2015-11-30,64369.456500000015
2015-12-31,63568.31069999998
2016-01-31,29347.386399999992
2016-02-29,20728.352000000003
2016-03-31,34489.67759999999
2016-04-30,38056.96850000002
2016-05-31,30761.558500000017
2016-06-30,28515.908199999976
2016-07-31,28573.30999999999
2016-08-31,49076.93
2016-09-30,65352.99700000004
2016-10-31,31631.888999999985
2016-11-30,50009.14500000005
2016-12-31,52891.88319999998
2017-01-31,38048.184000000016
2017-02-28,48907.59
2017-03-31,48990.14100000002
2017-04-30,42368.04799999997
2017-05-31,64836.251799999976
2017-06-30,37424.681000000004
2017-07-31,41761.943
2017-08-31,45766.814399999996
2017-09-30,40692.3063
2017-10-31,52156.95799999999
2017-11-30,66392.54699999996
2017-12-31,72847.08549999997
2018-01-31,59767.09099999998
2018-02-28,48928.833399999996
2018-03-31,74748.6237999999
2018-04-30,37849.21559999998
2018-05-31,40882.446399999986
2018-06-30,46912.847499999996
2018-07-31,53942.7755
2018-08-31,75408.78399999999
2018-09-30,73153.36400000003
2018-10-31,65501.16219999999
2018-11-30,87997.63999999993
2018-12-31,56959.235799999995
