Order Date,Sales
2018-01-31,14205.706999999995
2018-02-28,4519.891999999998
2018-03-31,55205.79699999999
2018-04-30,27906.85499999999
2018-05-31,23644.30299999999
2018-06-30,34322.93560000002
2018-07-31,33781.54299999999
2018-08-31,27117.53649999998
2018-09-30,81623.52679999999
2018-10-31,31453.392999999996
2018-11-30,77907.66070000004
2018-12-31,68167.05850000001
2019-01-31,18066.9576
2019-02-28,11951.410999999996
2019-03-31,32339.318400000004
2019-04-30,34154.46850000001
2019-05-31,29959.530500000015
2019-06-30,23599.373999999985
2019-07-31,28608.25899999999
2019-08-31,36818.34220000001
2019-09-30,63133.60600000003
2019-10-31,31011.737499999985
2019-11-30,75249.39950000004
2019-12-31,74543.60119999999
2020-01-31,18542.490999999995
2020-02-29,22978.815000000002
2020-03-31,51165.059
2020-04-30,38679.76699999999
2020-05-31,56656.907999999974
2020-06-30,39724.486000000004
2020-07-31,38320.78299999999
2020-08-31,30542.20030000001
2020-09-30,69193.39089999997
2020-10-31,59583.032999999996
2020-11-30,79066.49579999999
2020-12-31,95739.12099999998
2021-01-31,43476.47400000002
2021-02-28,19920.99739999999
2021-03-31,58863.412799999984
2021-04-30,35541.91009999999
2021-05-31,43825.982199999984
2021-06-30,48190.727699999996
2021-07-31,44825.103999999956
2021-08-31,62837.848
2021-09-30,86152.8880000001
2021-10-31,77448.13119999993
2021-11-30,117938.15499999997
2021-12-31,83030.38879999997
